品目,品番,商品名,車両メーカー,代表型式,代表車名,純正品番,Uzone品番_純正品番,本体福原加工,クラッチ福原加工,本体,クラッチ,仕切り,保証期間,備考,付属品,注意事項１,注意事項２,在庫フラグ（0：在庫あり、1：要確認）,部品ID1,部品ID2,特徴1,特徴2,特徴3,特徴4,特徴5,特徴6,特徴7,特徴8,特徴9,特徴10
オルタネーター,A007T02691BR,スズキオルタ(G)　I.C　12/55,ｽｽﾞｷ,DBA-MF33S,MRﾜｺﾞﾝ,3140060E12,50028650,,,,,22100,2年4万km保証,MAXタイプ,,プーリーの溝　４溝,,1,319.0,,,,,,,,,,,
オルタネーター,101211-241R,スズキオルタ(G) I.C 12/55,ｽｽﾞｷ,DBA-MK32S,ｽﾍﾟｰｼｱ,3140060F11,50028651,,,,,16400,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A007T01874R,スズキオルタ(G)I.C　12/55,ｽｽﾞｷ,M-JA71C,ｼﾞﾑﾆｰ,3140060F30,,,,,,22100,2年4万km保証,MAXタイプ,,注意：こちらのモデルはベルト滑りを起こしやすいモデルです。ファンベルト摩耗、ベルト張り不足等に特に注意が必要です。オルタネーターとベルトの同時交換をオススメします。,メーカーより対策キットの設定があります。「発電不良」「ベルト摩耗」の症状の場合は、対策キット(リブベルト)の交換を是非お勧め下さい。,1,,,,,,,,,,,,
オルタネーター,101211-072R,スズキオルタ(G) I.C 12/70,ｽｽﾞｷ,E-CT51S,ﾜｺﾞﾝR,3140060G11,,,,,,17800,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,102211-502R,スズキオルタネ-タ (G) I.C 12/70,ｽｽﾞｷ,E-HA21S,ｱﾙﾄ,3140060G12,,,,,,17800,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,102211-528R,スズキオルタネーター(G) IC 12/70,ｽｽﾞｷ,M-DA51V,ｷｬﾘｰ,3140060G13,50028654,,,,,17800,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,102211-250R,スズキオルタ(G)　I.C  12/90,ｽｽﾞｷ,MA34S,ｿﾘｵ,3140060G21,,,,,,17800,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,A002TX4191AR,オルタネーター(G) I.C 12/150　スズキ,ｽｽﾞｷ,MA15S,ｿﾘｵ,3140061P00,50028658,,,,,30300,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,102211-913R,スズキオルタ(G)　I.C  12/75,ｽｽﾞｷ,ZC11S,ｽｲﾌﾄ,3140063J00,50028660,,,,,17800,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A001TG1191R,オルタネーター(G）I.C 12/65,ｽｽﾞｷ,DA17V,ｴﾌﾞﾘｨ,3140064P00,50028661,,,,,22100,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
