品番,グレード,仕様,本体番号,レベライザー,AFS,見た目,,備考
81110-B1370   ,G&X,HID,100-51398,,,,,ＳＴＤ（ＨＩＤ ２灯）
81110-B1380   ,HANA,HID,100-51400,,,,,Ｔ－＋ＨＡＮＡ（ＨＩＤ ４灯）
81110-B1390   ,HANA,ハロゲン,100-51399,,,,, 
81150-B1360   ,G&X,ハロゲン,100-51397,,,,, 
81150-B1370   ,G&X,HID,100-51398,,,,,ＳＴＤ（ＨＩＤ ２灯）
81150-B1380   ,HANA,HID,100-51400,,,,,Ｔ－＋ＨＡＮＡ（ＨＩＤ ４灯）
81150-B1390   ,HANA,ハロゲン,100-51399,,,,, 
81110-B1400   ,X,ハロゲン,100-69026,,,,, 
81110-B1410   ,X,LED,100-69027,,,,,ＳＴＤ（ＬＥＤ）
81110-B1420   ,MODA,LED,100-69028,,,,, 
81150-B1400   ,X,ハロゲン,100-69026,,,,, 
81150-B1410   ,X,LED,100-69027,,,,,ＳＴＤ（ＬＥＤ）
81150-B1420   ,MODA,LED,100-69028,,,,, 
81110-52670   , ,ハロゲン,52-156,,,,, 
81110-52800   ,G,ハロゲン,52-168,,,,,Ｓパッケージ＆２灯ハロゲン（Ｓパッケージ用）
81150-52660   , ,ハロゲン,52-156,,,,, 
81150-52790   ,G,ハロゲン,52-168,,,,,Ｓパッケージ＆２灯ハロゲン（Ｓパッケージ用）
81110-52680   ,X,HID,52-157,,,,,ＨＩＤ ＳＥＬＥＣＴＩＯＮ ２
81150-52670   ,X,HID,52-157,,,,,ＨＩＤ ＳＥＬＥＣＴＩＯＮ ２
81110-B1140   , ,ハロゲン,B1-1,,,,, 
81110-B1150   , ,HID,B1-2,,,,,２灯 ＨＩＤ ＴＭＣ
81150-B1140   , ,ハロゲン,B1-1,,,,, 
81150-B1150   , ,HID,B1-2,,,,,２灯 ＨＩＤ ＴＭＣ
81110-B1350   , ,HID,100-51096,,,,, 
81150-B1350   , ,HID,100-51096,,,,, 
81110-52420   , ,ハロゲン,52-123,レベライザー無,,,, 
81110-52430   , ,HID,52-124,レベライザー無,,,,ディスチャージ
81150-52420   , ,ハロゲン,52-123,レベライザー無,,,, 
81150-52430   , ,HID,52-124,レベライザー無,,,,ディスチャージ
81110-52421   , ,ハロゲン,52-123,レベライザー付,,,, 
81110-52431   , ,HID,52-124,レベライザー付,,,,ディスチャージ
81150-52421   , ,ハロゲン,52-123,レベライザー付,,,, 
81150-52431   , ,HID,52-124,レベライザー付,,,,ディスチャージ
81110-52830   , ,ハロゲン,52-171,,,,, 
81110-52840   , ,HID,52-172,,,,,ディスチャージ
81150-52820   , ,ハロゲン,52-171,,,,, 
81150-52830   , ,HID,52-172,,,,,ディスチャージ
81110-52E50   ,DICE&DICEG,HID,52-240,,,,, 
81150-52E50   ,DICE&DICEG,HID,52-240,,,,, 
81110-52G50   ,X,,,,,,, 
81110-52G60   ,G,HID,52-265,,,,, 
81150-52G40   ,X,,,,,,, 
81150-52G50   ,G,HID,52-265,,,,, 
81110-B1270   , ,ハロゲン,100-51958,,,,, 
81110-B1280   , ,HID,100-51959,,,,,２灯 ＨＩＤ
81150-B1270   , ,ハロゲン,100-51958,,,,, 
81150-B1280   , ,HID,100-51959,,,,,２灯 ＨＩＤ
81110-52F40   , ,ハロゲン,52-260,,,,, 
81110-52F50   ,F&G&X&Y,HID,52-261,,,,,ディスチャージ４灯 タイプＢ
81110-52F70   ,F&G&X&Y,HID,52-259,,,,,ディスチャージ４灯 タイプＡ
81150-52F40   , ,ハロゲン,52-260,,,,, 
81150-52F50   ,F&G&X&Y,HID,52-261,,,,,ディスチャージ４灯 タイプＢ
81150-52F70   ,F&G&X&Y,HID,52-259,,,,,ディスチャージ４灯 タイプＡ
81110-52F62   , ,ハロゲン,52-258,,,,, 
81150-52F62   , ,ハロゲン,52-258,,,,, 
81110-B1570   ,G&X,ハロゲン,W3920,,,,, 
81110-B1580   ,CTMG,LED,W3918,,,,, 
81110-B1590   ,G&X,ハロゲン,W3919,,,,, 
81110-B1600   ,CTMG,LED,W3917,,,,, 
81150-B1530   ,G&X,ハロゲン,W3920,,,,, 
81150-B1540   ,CTMG,LED,W3918,,,,, 
81150-B1550   ,G&X,ハロゲン,W3919,,,,, 
81150-B1560   ,CTMG,LED,W3917,,,,, 
81110-52E90   ,G&S,LED,52-247,,,,,ＬＥＤ
81150-52E90   ,G&S,LED,52-247,,,,,ＬＥＤ
81110-52G70   ,G,ハロゲン,52-244, ,,エクステンション ブラック,,ハロゲン（Ｇ’ｓ ＆ エクステンション ブラック）
81150-52G70   ,G,ハロゲン,52-244, ,,エクステンション ブラック,,ハロゲン（Ｇ’ｓ ＆ エクステンション ブラック）
81110-52E61   , ,ハロゲン,52-244, ,,,, 
81110-52F81   ,G&S,ハロゲン,52-244, ,,エクステンション スモーク,,ハロゲン（エクステンション スモーク）
81150-52E61   , ,ハロゲン,52-244, ,,,, 
81150-52F81   ,G&S,ハロゲン,52-244, ,,エクステンション スモーク,,ハロゲン（エクステンション スモーク）
81110-52K40   , ,ハロゲン,52-291, ,,,, 
81110-52K60   ,G&S&XRBN,LED,52-293, ,,,,ＬＥＤ
81110-52K80   ,G,LED,52-247, ,,,,ＬＥＤ（Ｇ’ｓ）
81150-52K40   , ,ハロゲン,52-291, ,,,, 
81150-52K60   ,G&S&XRBN,LED,52-293, ,,,,ＬＥＤ
81150-52K80   ,G,LED,52-247, ,,,,ＬＥＤ（Ｇ’ｓ）
81110-52730   , ,ハロゲン,52-163, ,,,, 
81110-52740   , ,HID, , ,,,,ディスチャージ
81150-52720   , ,ハロゲン,52-163, ,,,, 
81150-52730   , ,HID , , ,,,,ディスチャージ
81110-01080   , ,ハロゲン,1月14日, ,,,, 
81150-01080   , ,ハロゲン,1月14日, ,,,, 
81110-47640   ,S,ハロゲン,47-64, ,,,, 
81150-47640   ,S,ハロゲン,47-64, ,,,, 
81110-47660   ,S,LED,47-65, ,,,,スマートエントリ－有り（フロント ＆ バックドア） ＆ 無し（パニックボタン）＆ＬＥＤ
81150-47660   ,S,LED,47-65, ,,,,スマートエントリ－有り（フロント ＆ バックドア） ＆ 無し（パニックボタン）＆ＬＥＤ
81110-47760   ,S,LED,47-65, ,,,,Ｇ’ｓ ＯＲ ＧＲ ＳＰＯＲＴ＆Ｓ“ツーリングセレクション”＊（Ｔ）＆スマートエントリ－有り（フロント ＆ バックドア） ＆ 無し（パニック ボタン）＆ＬＥＤ（Ｇ’ｓ ＯＲ ＧＲ ＳＰＯＲＴ用）
81150-47620   ,S,LED,47-65, ,,,,Ｇ’ｓ ＯＲ ＧＲ ＳＰＯＲＴ＆Ｓ“ツーリングセレクション”＊（Ｔ）＆スマートエントリ－有り（フロント ＆ バックドア） ＆ 無し（パニック ボタン）＆ＬＥＤ（Ｇ’ｓ ＯＲ ＧＲ ＳＰＯＲＴ用）
