品目,品番,商品名,車両メーカー,代表型式,代表車名,純正品番,本体福原加工,クラッチ福原加工,本体,クラッチ,仕切り,保証期間,備考,付属品,注意事項１,注意事項２,在庫フラグ（0：在庫あり、1：要確認）
コンプレッサー,SJK72B0,スズキコンプレッサー,ﾏﾂﾀﾞ,M-DG41B,ｽｸﾗﾑ,ZZS0-61-450A,ZZS0-61-450A,,,,22300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,447170-774R,コンプレッサー/クラッチ(R)　10S13C 24V,ﾏﾂﾀﾞ,WH63G,ﾀｲﾀﾝ,W620-61-K00,W620-61-K00,,4472203390,4473009460,33300,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-748R,コンプレッサー/クラッチ(R) 10P13F 24V,ﾏﾂﾀﾞ,,ﾀｲﾀﾝ,W424-61-450A,W424-61-450A,,,,29400,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447100-749R,コンプレッサー/クラッチ　(R)　10P13C  24V,ﾏﾂﾀﾞ,,ﾀｲﾀﾝ,W412-61-450B,W412-61-450B,,,,29400,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,247100-460R,コンプレッサー/クラッチ(R) 10P13A 24V,ﾏﾂﾀﾞ,WGM4T,ﾀｲﾀﾝ,W372-61-450,W372-61-450,,1472005160,473006790,29400,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-364R,コンプレッサー/クラッチ(R) 10P13A 24V,ﾏﾂﾀﾞ,WGLAD,ﾀｲﾀﾝ,W323-61-450A,W323-61-450A,,,,29400,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,147100-706R,コンプレッサ-/クラッチ  10P13A 24V,ﾏﾂﾀﾞ,WGLAD,ﾀｲﾀﾝ,W202-61-450,W202-61-450,,,,29400,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,047100-977R,コンプレッサー/クラッチ　(R)　10P13A  24V,ﾏﾂﾀﾞ,WELAN,ﾀｲﾀﾝ,W065-61-450,W065-61-450,,,,29400,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447100-985R,コンプレッサー/クラッチ(R)　10P13C  12V,ﾏﾂﾀﾞ,UF66M,ﾌﾟﾛｼｰﾄﾞ,UE82-61-450A,UE82-61-450A,,,,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,147100-871R,コンプレッサー/クラッチ(R) 10P13C 12V,ﾏﾂﾀﾞ,UF66M,ﾌﾟﾛｼｰﾄﾞ,UE53-61-450A,UE53-61-450A,,,,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-883R,コンプレッサー/クラッチ(R) 10PA17C 12V,ﾏﾂﾀﾞ,TF31W,ﾌﾟﾛｼｰﾄﾞ,U013-61-450,U013-61-450,,,,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,506011-5470R-S,ゼクセルコンプレッサー(DKS15CH),ﾏﾂﾀﾞ,Z-SDEATF,J80･J100,S660-61-450,S660-61-450,,,,25300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506012-1140R-S,ゼクセルコンプレッサー(DKS17D),ﾏﾂﾀﾞ,SK82V,ﾎﾞﾝｺﾞ,S63L-61-450A,S63L-61-450A,,,,28300,1年2万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506011-9622R-S,ゼクセルコンプレッサー(DKS15CH),ﾏﾂﾀﾞ,SY56T,ﾀｲﾀﾝ,S58E-61-K00,S58E-61-K00,S58E-61-L10,,,27300,1年2万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506011-9150R-S,ゼクセルコンプレッサー(DKS15CH),ﾏﾂﾀﾞ,KH-SGL3F,ﾌﾘ-ﾀﾞ,S54S-61-450,S54S-61-450,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,506011-2960R-S,ゼクセルコンプレッサー(DKS17CH),ﾏﾂﾀﾞ,SE58TF,J80･J100,S525-61-450,S525-61-450,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,506011-2950R-S,ゼクセルコンプレッサー(DKS15CH),ﾏﾂﾀﾞ,SE88M,ﾎﾞﾝｺﾞ,S520-61-450,S520-61-450,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
